Date,Open,High,Low,Close,Adjusted_close,Volume
2002-04-26,24.2816,24.3712,22.9992,23.0104,0.3492,304981600
2002-04-29,23.1616,24.0576,23.0888,23.9624,0.3637,272288800
2002-04-30,23.8896,24.3824,23.7496,24.2704,0.3684,280963200
2002-05-01,24.2928,24.2928,23.3576,23.9792,0.364,214704000
2002-05-02,23.8112,24.3376,23.5984,23.688,0.3595,239344000
2002-05-03,23.5704,24.0184,23.4304,23.5088,0.3568,230781600
2002-05-06,23.352,23.4976,22.4616,22.652,0.3438,249664800
2002-05-07,22.9376,22.9488,22.1424,22.4728,0.3411,242748800
2002-05-08,23.2008,24.5224,23.0384,24.3712,0.3699,436682400
2002-05-09,24.248,24.3488,23.8,24.192,0.3672,224616000
2002-05-10,24.2928,24.2928,22.9824,23.3184,0.3539,235396000
2002-05-13,23.52,24.0912,22.9376,23.94,0.3634,265608000
2002-05-14,24.4496,25.6816,24.22,25.6088,0.3887,526506400
2002-05-15,25.368,25.9784,24.8416,25.2784,0.3837,335826400
2002-05-16,25.06,25.452,24.752,25.2112,0.3826,227052000
2002-05-17,25.4912,25.7824,24.612,25.0096,0.3796,236493600
2002-05-20,24.5672,24.9312,24.528,24.7408,0.3755,269914400
2002-05-21,24.8304,24.9984,23.4024,23.4584,0.356,280991200
2002-05-22,23.3688,24.3712,23.3184,24.3208,0.3691,290875200
2002-05-23,24.4496,25.2392,24.0688,25.1776,0.3821,369398400
2002-05-24,24.9872,24.9872,23.9624,24.1528,0.3666,166174400
2002-05-28,23.688,24.1976,23.4304,23.9792,0.364,149716000
2002-05-29,23.9176,24.4384,23.4472,23.9792,0.364,221793600
2002-05-30,23.772,24.3824,23.5088,24.1976,0.3673,196375200
2002-05-31,24.0912,24.248,23.2792,23.3016,0.3537,365495200
2002-06-03,23.3912,23.4472,22.5792,22.9096,0.3477,235110400
2002-06-04,22.8816,23.0384,22.1816,22.7808,0.3458,347821600
2002-06-05,22.8312,22.8312,22.3496,22.7192,0.3448,277082400
2002-06-06,22.96,23.2288,22.0416,22.1592,0.3363,259996800
2002-06-07,21.7616,21.9408,20.9328,21.3976,0.3248,612376800
